strain	date	virus	continent	country	state	municipality	company_type	host	sampled	scion	stock	major_genotype	db	segment	authors	url	title	journal	paper_url
MK133095	2018-10-1	ToBRFV	europe	germany	north_rhine_westphalia	north_rhine_westphalia	fruit_production	solanum_lycopersicum	unknown	unknown	unknown	unknown	genbank	genome	menzel et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mk133095	First report of Tomato brown rugose fruit virus infecting tomato in Germany	new disease reports	https://www.ndrs.org.uk/article.php?id=039001
MN167466	2018-10-1	ToBRFV	europe	italy	sicily	sicily	fruit_production	solanum_lycopersicum	unknown	unknown	unknown	unknown	genbank	genome	panno et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mn167466	Developing of real time reverse transcription polymerase chain reaction for rapid detection of Tomato brown rugose fruit virus and its comparison with other techniques	plant disease	https://apsjournals.apsnet.org/doi/10.1094/pdis-12-18-2254-pdn
MK319944	2018-7-1	ToBRFV	north_america	mexico	baja_california	ensenada	fruit_production	solanum_lycopersicum	unknown	unknown	unknown	unknown	genbank	genome	camacho-beltran et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mk319944	First report of Tomato brown rugose fruit virus infecting tomato crops in Mexico	plant disease	https://apsjournals.apsnet.org/doi/10.1094/pdis-11-18-1974-pdn
KX619418	2014-11-1	ToBRFV	asia	israel	hevel_eshkol	ohad	fruit_production	solanum_lycopersicum	unknown	ikram_mose	none_arnold	unknown	genbank	genome	luria et al. 2017	https://www.ncbi.nlm.nih.gov/nuccore/kx619418	A new Israeli Tobamovirus isolate infects tomato plants harboring tm-22 resistance genes	plos one	https://www.ncbi.nlm.nih.gov/pubmed?linkname=nuccore_pubmed&from_uid=1100877236
MK165457	2018-3-1	ToBRFV	asia	palestine	northern_palestine	northern_palestine	fruit_production	solanum_lycopersicum	unknown	ikram_azmeer	ikram_azmeer	unknown	genbank	genome	alkowni et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mk165457	Molecular identification of Tomato brown rugose fruit virus in tomato in Palestine	journal of plant pathology	https://link.springer.com/article/10.1007/s42161-019-00240-7
MN182533	2019-7-1	ToBRFV	europe	united_kingdom	kent	birchington-on-sea	fruit_production	solanum_lycopersicum	unknown	piccolo	piccolo	unknown	genbank	genome	skelton et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mn182533	First report of Tomato brown rugose fruit virus in tomato in the United Kingdom	new disease reports	https://www.ndrs.org.uk/article.php?id=040012
MK648157	2016-1-1	ToBRFV	asia	jordan	jordan_valley	jordan_valley	fruit_production	capsicum_annuum	unknown	unknown	unknown	unknown	genbank	genome	salem et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mk648157	First report of Tobacco mild green mosaic virus and Tomato brown rugose fruit virus infecting Capsicum annuum in Jordan	plant disease	https://apsjournals.apsnet.org/doi/10.1094/pdis-06-19-1189-pdn
MK133093	2018-8-1	ToBRFV	europe	germany	north_rhine_westphalia	north_rhine_westphalia	fruit_production	solanum_lycopersicum	unknown	unknown	unknown	unknown	genbank	genome	menzel et al. 2019	https://www.ncbi.nlm.nih.gov/nuccore/mk133093	First report of Tomato brown rugose fruit virus infecting tomato in Germany	new disease reports	https://www.ndrs.org.uk/article.php?id=039001
KT383474	2015-4-17	ToBRFV	asia	jordan	jordan	jordan	fruit_production	solanum_lycopersicum	unknown	candela	candela	unknown	genbank	genome	salem et al. 2016	https://www.ncbi.nlm.nih.gov/nuccore/kt383474	Aa new Tobamovirus infecting tomato crops in Jordan	archives of virology	https://www.ncbi.nlm.nih.gov/pubmed/26586328
33610411	2019-10-1	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	brioso	maxifort	100.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882011	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
33993176	2019-10-15	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	leaves	provine	maxifort	100.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882012	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39976860	2019-10-15	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	leaves	provine	maxifort	99.8	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882013	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
36132638_A	2019-10-31	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	merlice	maxifort	82.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882014	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38886177_B	2019-10-22	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	roterno	maxifort	99.8	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882015	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38886230_A	2019-10-22	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	robino	maxifort	99.8	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882016	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38886230_B	2019-10-22	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	robino	maxifort	68.3	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882017	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38886257_A	2019-10-22	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	timotion	maxifort	99.2	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882018	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38887559_A	2019-10-23	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	sjaleza	dro141	98.9	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882019	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38887559_B	2019-10-23	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	sjaleza	dro141	99.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882020	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38887559_C	2019-10-23	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	sjaleza	dro141	89.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882021	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38890029_A	2019-10-24	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	dometica	maxifort	100.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882022	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
38890029_B	2019-10-24	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	dometica	maxifort	88.5	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882023	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39055711_A	2019-10-31	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	monterosa	dro141	78.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882024	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39055711_B	2019-10-31	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	monterosa	dro141	82.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882025	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39058293_A	2019-10-24	ToBRFV	europe	netherlands	zuid_holland	honselersdijk	fruit_production	solanum_lycopersicum	leaves	arawak_romax	dro141	86.3	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882026	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39058293_B	2019-10-24	ToBRFV	europe	netherlands	zuid_holland	honselersdijk	fruit_production	solanum_lycopersicum	leaves	arawak_romax	dro141	68.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882027	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
